blk_key,gps_lon,gps_lat,timestamp
C5F8EF56BE,158.718652,65.87896699999999,20200806_003237
ACC5476BED,158.705029,65.87609499999999,20200806_003304
28257AFE0B,158.710221,65.867969,20200806_003331
D1DDB971A7,158.693327,65.872034,20200806_003332
36D561D09E,158.709228,65.867041,20200806_003333
C3045BAFF6,158.712142,65.86789999999999,20200806_003333
FAF8E4CC54,158.691602,65.871081,20200806_003405
F836331CD6,158.707845,65.867179,20200806_003415
36D561D09E,158.709228,65.867041,20200806_003438
A868CD1B5E,158.706771,65.877087,20200806_003445
8A94A0FA14,158.70875700000002,65.867306,20200806_003503
B536A3F70F,158.70791,65.875578,20200806_003504
344FFCD1D9,158.708545,65.86888400000001,20200806_003537
B27224E2B9,158.71849,65.876127,20200806_003545
FD41C9BEA4,158.71814799999999,65.87506099999999,20200806_003615
36D561D09E,158.709228,65.867041,20200806_003649
2E6222427D,158.724658,65.886027,20200806_003728
7CD2B0D9C6,158.707455,65.86831000000001,20200806_003738
36D561D09E,158.709228,65.867041,20200806_003755
58E1450290,158.70765,65.875871,20200806_003821
0AB70B6E52,158.708138,65.87627800000001,20200806_003854
36D561D09E,158.709228,65.867041,20200806_003900
4C51AA46AF,158.709521,65.868518,20200806_003906
90FEDDC8F5,158.70608700000003,65.86713499999999,20200806_004003
36D561D09E,158.709228,65.867041,20200806_004005
BF490D0676,158.71280900000002,65.86969400000001,20200806_004048
36D561D09E,158.709228,65.867041,20200806_004110
72CFA8C82D,158.695133,65.874565,20200806_004141
2124871138,158.711849,65.870117,20200806_004148
36D561D09E,158.709228,65.867041,20200806_004214
AC077033F9,158.718457,65.879936,20200806_004238
CCC7B28A3E,158.718018,65.87506099999999,20200806_004310
789B1DE702,158.696956,65.87490199999999,20200806_004313
36D561D09E,158.709228,65.867041,20200806_004318
5470BF5D91,158.71914099999998,65.879167,20200806_004351
3493B56166,158.722477,65.88190900000001,20200806_004404
36D561D09E,158.709228,65.867041,20200806_004423
0D7C240A3A,158.699544,65.86783,20200806_004520
36D561D09E,158.709228,65.867041,20200806_004529
7F48C5EB28,158.707194,65.86714699999999,20200806_004536
E22E6FA9DA,158.696175,65.87565900000001,20200806_004556
D9C985591D,158.70208300000002,65.87392600000001,20200806_004624
36D561D09E,158.709228,65.867041,20200806_004635
8DAE86D2AC,158.711849,65.868298,20200806_004646
4F67DF6DA9,158.70873999999998,65.864059,20200806_004658
36D561D09E,158.709228,65.867041,20200806_004742
0B79466C00,158.70651,65.86842,20200806_004743
5BB1524A88,158.694873,65.87258299999999,20200806_004747
D5922D4DDB,158.699349,65.87341699999999,20200806_004804
103FDAFB03,158.711165,65.868945,20200806_004821
9C59F673A7,158.717594,65.875134,20200806_004826
2A4292D5CC,158.70781200000002,65.86381399999999,20200806_004849
36D561D09E,158.709228,65.867041,20200806_004850
4BDB704A4E,158.709733,65.86807400000001,20200806_004908
36D561D09E,158.709228,65.867041,20200806_004959
38739FCB7C,158.717773,65.874841,20200806_005015
0B81E9886B,158.708903,65.86733,20200806_005107
50CBC1A887,158.718392,65.875903,20200806_005108
36D561D09E,158.709228,65.867041,20200806_005111
18A6A15ACF,158.697835,65.870268,20200806_005129
280BC5361A,158.696143,65.869641,20200806_005133
4563675FAE,158.71964499999999,65.879285,20200806_005146
36D561D09E,158.709228,65.867041,20200806_005227
D6D04FD8BF,158.711295,65.86801700000001,20200806_005246
BE62758E1F,158.71835900000002,65.87437299999999,20200806_005301
36D561D09E,158.709228,65.867041,20200806_005346
492A160D29,158.71938500000002,65.87795,20200806_005406
ED98D3A049,158.719189,65.87959000000001,20200806_005427
4358E374DB,158.709082,65.86783,20200806_005436
E0DFCF4299,158.71652,65.874695,20200806_005500
36D561D09E,158.709228,65.867041,20200806_005504
054EB43391,158.70183899999998,65.874223,20200806_005516
44B6C4280B,158.71163700000002,65.869568,20200806_005531
B5D2C46445,158.709326,65.867712,20200806_005541
B4D12C9800,158.719955,65.877087,20200806_005603
173B351AB4,158.70236,65.874255,20200806_005619
36D561D09E,158.709228,65.867041,20200806_005627
8190CF7826,158.71803400000002,65.87609499999999,20200806_005651
6EA42F106E,158.70628200000002,65.876038,20200806_005736
36D561D09E,158.709228,65.867041,20200806_005752
C85718AAA6,158.706429,65.875399,20200806_005822
E7A4B795EB,158.69664699999998,65.871407,20200806_005846
36D561D09E,158.709228,65.867041,20200806_005941
07F5A5443A,158.703597,65.87040999999999,20200806_005947
FF85A9010D,158.72469099999998,65.88479799999999,20200806_010036
B1133774BD,158.706575,65.87734,20200806_010049
1EB6D265CA,158.709098,65.863643,20200806_010051
CACADB3DD1,158.697607,65.87037000000001,20200806_010112
5627307A68,158.697575,65.869015,20200806_010123
36D561D09E,158.709228,65.867041,20200806_010128
6E41A797DF,158.69445,65.873482,20200806_010137
B60A33A78F,158.694401,65.869702,20200806_010138
9B2BFB76B0,158.697152,65.870866,20200806_010200
32DD9FD4BA,158.706445,65.876164,20200806_010246
C60A967613,158.693425,65.87032500000001,20200806_010252
5F3DD34FB0,158.69329399999998,65.871289,20200806_010254
36D561D09E,158.709228,65.867041,20200806_010310
49B59E7D83,158.69212199999998,65.87019000000001,20200806_010312
0545E33D87,158.700423,65.874154,20200806_010320
DBD2DFBE7C,158.694759,65.874288,20200806_010507
491DB417AF,158.70807299999998,65.86787899999999,20200806_010518
B17C598C2F,158.694499,65.868986,20200806_010519
EF534B87C8,158.707536,65.867558,20200806_010555
36D561D09E,158.709228,65.867041,20200806_010637
753BFBC848,158.711295,65.869287,20200806_010654
C629040AC2,158.707162,65.877685,20200806_010813
36D561D09E,158.709228,65.867041,20200806_010817
E9ADBB400C,158.71850600000002,65.878841,20200806_010926
AEE50DCDD4,158.711768,65.869665,20200806_010933
36D561D09E,158.709228,65.867041,20200806_010952
91A251188B,158.71230500000001,65.869849,20200806_011006
A9AAAF6A2D,158.70318999999998,65.876953,20200806_011034
EF48432914,158.707292,65.867163,20200806_011115
F30998A0C7,158.700944,65.87519900000001,20200806_011119
41987C99DC,158.723861,65.88265799999999,20200806_011125
36D561D09E,158.709228,65.867041,20200806_011128
65A3A63F7C,158.692139,65.86980399999999,20200806_011151
E09A56D9C9,158.696696,65.87616,20200806_011215
F131A93D0A,158.692253,65.871798,20200806_011235
36D561D09E,158.709228,65.867041,20200806_011304
E10706435D,158.706771,65.87635900000001,20200806_011314
E9E7431363,158.708643,65.866724,20200806_011322
DED5E39563,158.708268,65.863115,20200806_011355
36D561D09E,158.709228,65.867041,20200806_011440
D8A10AC26D,158.70765,65.869124,20200806_011537
86737B7976,158.71850600000002,65.880416,20200806_011538
BEC527C24C,158.718229,65.878796,20200806_011601
F6767BE3DD,158.70898400000002,65.86768000000001,20200806_011617
1C1145C9C5,158.72063799999998,65.879024,20200806_011620
36D561D09E,158.709228,65.867041,20200806_011621
896C62D071,158.708008,65.868921,20200806_011747
36D561D09E,158.709228,65.867041,20200806_011755
2FDC8A3952,158.707438,65.863269,20200806_011803
7410294D45,158.696598,65.869702,20200806_011837
C2AE309E65,158.709098,65.863257,20200806_011927
36D561D09E,158.709228,65.867041,20200806_011930
1CE3B37171,158.70725900000002,65.87686400000001,20200806_012043
6648D4088C,158.695898,65.875452,20200806_012045
36D561D09E,158.709228,65.867041,20200806_012106
426EBCA8C1,158.71014,65.86361500000001,20200806_012109
89D98C66EE,158.70183899999998,65.867289,20200806_012109
E3F03340DF,158.70725900000002,65.866581,20200806_012126
028010B325,158.695898,65.87168,20200806_012129
89F3C5A5F9,158.710173,65.863591,20200806_012148
75C7B455CB,158.720768,65.880318,20200806_012229
36D561D09E,158.709228,65.867041,20200806_012239
A32DE3B587,158.712663,65.87023500000001,20200806_012256
2762075256,158.71945,65.879134,20200806_012303
EBDE6FCC75,158.69611,65.871667,20200806_012334
A5B3EE206D,158.696924,65.87547599999999,20200806_012334
1B6B599E25,158.718848,65.880212,20200806_012337
B8BBB55E42,158.69401000000002,65.872534,20200806_012355
36D561D09E,158.709228,65.867041,20200806_012416
